"","xbar","sd","n.loci","se","sitenamesNICE"
"FJS",0.351069464774927,0.139499895916056,2735,0.00266744343230871,"SCFJ"
"FLS",0.341283630102064,0.15005148866279,2735,0.00286920542351199,"FLS"
"FLT",0.336128031238826,0.14972676106146,2735,0.00286299615359267,"FLT"
"HWW",0.352233496735994,0.138366222439931,2735,0.00264576592603951,"SC2"
"NCC",0.326892425788561,0.160798206780785,2735,0.00307469849914818,"NC1"
"NHH",0.329467889232704,0.146833094711231,2735,0.00280766499187012,"NH1"
"RIS",0.32427481707823,0.1547577100033,2735,0.00295919530575024,"RIS"
"RIT",0.343568763030286,0.142562043349406,2735,0.00272599620043957,"RIT"
"SBI",0.355151405096023,0.13424018548008,2735,0.00256687002351755,"SCBS"
"SCT",0.365865267797493,0.127563532801398,2735,0.00243920259250905,"SC3"
"SFB",0.346933519673202,0.137414653443986,2735,0.00262757052559169,"SCFS"
"SWS",0.334148032926258,0.142932235005983,2735,0.00273307481004387,"MASS"
"SWT",0.324968614350396,0.148345743123833,2735,0.00283658905698925,"MAST"
"TBI",0.351076704526499,0.134383372991186,2735,0.00256960797958255,"SCBT"
"TFB",0.354173688052688,0.135578076810711,2735,0.00259245247588857,"SCFT"
"WES",0.319893763406524,0.153661689265063,2735,0.00293823777527549,"MAWS"
"WET",0.317078280826219,0.158641438059691,2735,0.0030334579052229,"MAWT"
